ID,Name,LeaderID,UnitType,Atk,Hp,EffectID,EventID
Or_L,귤 공주님,Or_L,L,3,7,,
Or_B,귤 직장인?,Or_L,B,1,2,,
Or_N,망상의 기사님,Or_L,N,2,3,,
Or_R,귤 나무,Or_L,R,1,1,,
Or_P,귤 요정,Or_L,P,1,1,PawnGeneric,
Cl_L,샤를로테,Cl_L,L,3,10,,
Cl_B,바이올렛,Cl_L,B,2,3,,Cl_Blitz
Cl_N,아이린,Cl_L,N,2,3,,
Cl_R,릴리아,Cl_L,R,1,3,,Cl_Blitz
Cl_P,미스티아,Cl_L,P,1,1,PawnGeneric,
Me_L,멜로리,Me_L,L,2,8,,
Me_B,인펙실리아,Me_L,B,1,3,,
Me_N,하이재키,Me_L,N,2,3,,
Me_R,디도스,Me_L,R,0,3,,
Me_P,이브,Me_L,P,1,1,PawnGeneric,
Tr_L,트렌트,Tr_L,L,2,7,,
Tr_B,텔리시아,Tr_L,B,0,3,,Tr_Hard
Tr_N,벡시아,Tr_L,N,2,3,,
Tr_R,카이버,Tr_L,R,0,3,,Tr_Hard
Tr_P,모니,Tr_L,P,1,1,PawnGeneric,
